scope,state,government_level,category,cat_code,organization,url,discovered_from,verification_status
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Agriculture Department, Andaman & Nicobar",https://agri.andamannicobar.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Animal Husbandry and Veterinary Services Department, Andaman & Nicobar",https://ahvs.andamannicobar.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Civil Supplies and Consumer Affairs Department, Andaman & Nicobar",https://dcsca.andaman.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Cooperative Department, Andaman & Nicobar",https://rcs.andaman.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Education Department, Andaman & Nicobar",https://education.andaman.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Electricity Department, Andaman & Nicobar",https://vidyut.andaman.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Environment & Forest Department, Andaman & Nicobar",https://forest.and.nic.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Fisheries Department, Andaman & Nicobar",https://anifisheries.andaman.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Health Department, Andaman & Nicobar",https://dhs.andamannicobar.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Industries Department, Andaman & Nicobar",https://industries.andaman.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Labour, Employment & Training Department, Andaman & Nicobar",https://labour.and.nic.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Police Department, Andaman & Nicobar",https://police.andaman.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Relief and Rehabilitation & Disaster Management Department, Andaman & Nicobar",https://ddm.andamannicobar.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Rural Development & Panchayat Department, Andaman",https://rdpri.andamannicobar.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Science & Technology Department, Andaman & Nicobar",https://dstpcc.andamannicobar.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,National Feeder Monitoring System,https://nfms.powermin.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,Sustainable Agrarian Mission on use of Agri-Residue in Thermal Power Plants (SAMARTH),https://samarth.powermin.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,Revamped Distribution Sector Scheme (RDSS),https://rdss.powermin.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,Indian Railways Institute of Transport Management (IRITM),https://iritmold.indianrailways.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Shipping & Ports Department, Andaman & Nicobar",https://dss.andaman.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Tourism, Andaman & Nicobar",https://www.andamantourism.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Transport Department, Andaman & Nicobar",https://transport.and.nic.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Departments - Andaman and Nicobar Islands,E003,"Zilla Parishad Department, Andaman & Nicobar",https://zpsa.andaman.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Academies / Institutions - Andaman and Nicobar Islands,E009,"Dr. B.R. Ambedkar Institute of Technology, Andaman & Nicobar Admistration",https://dbrait.andaman.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Academies / Institutions - Andaman and Nicobar Islands,E009,"Jawaharlal Nehru Rajkeeya Mahavidyalaya, Andaman & Nicobar Islands",https://jnrm.and.nic.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Academies / Institutions - Andaman and Nicobar Islands,E009,"Mahatma Gandhi Government College, Mayabunder, Andaman & Nicobar Islands",https://mggcm.and.nic.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Academies / Institutions - Andaman and Nicobar Islands,E009,"Tagore Government College of Education (TGCE), Port Blair",https://tgce.and.nic.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Academies / Institutions - Andaman and Nicobar Islands,E009,National Feeder Monitoring System,https://nfms.powermin.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Academies / Institutions - Andaman and Nicobar Islands,E009,Sustainable Agrarian Mission on use of Agri-Residue in Thermal Power Plants (SAMARTH),https://samarth.powermin.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Academies / Institutions - Andaman and Nicobar Islands,E009,Revamped Distribution Sector Scheme (RDSS),https://rdss.powermin.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Academies / Institutions - Andaman and Nicobar Islands,E009,Indian Railways Institute of Transport Management (IRITM),https://iritmold.indianrailways.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Districts - Andaman and Nicobar Islands,E042,Nicobars,https://nicobars.andaman.nic.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Districts - Andaman and Nicobar Islands,E042,North And Middle Andaman,https://northmiddle.andaman.nic.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Districts - Andaman and Nicobar Islands,E042,South Andamans,https://southandaman.nic.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Districts - Andaman and Nicobar Islands,E042,National Feeder Monitoring System,https://nfms.powermin.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
AN,Andaman and Nicobar Islands,state_or_ut,Districts - Andaman and Nicobar Islands,E042,Sustainable Agrarian Mission on use of Agri-Residue in Thermal Power Plants (SAMARTH),https://samarth.powermin.gov.in,IGOD /sg/{state}/{cat}/organizations,DISCOVERED
